color,count
f9f5f2,1625
faf6f3,2630
fbf7f4,2039
fcf8f5,4253
faf6f5,582
fcf8f7,1751
fdf9f8,4147
f9f5f4,268
fefafb,133
fff9fb,7
faf4f6,3
f9f8f6,7324
fbfaf8,107749
faf9f7,29772
fefaf9,6020
fdf9f6,3621
fffbf8,901
f9f8f4,26238
faf9f5,46019
fbf7f6,584
fcfbf9,25719
fbfaf6,21622
fcfbf7,3896
f8f7f5,1460
f7f6f4,1619
f6f5f3,872
f8f7f3,7900
f7f6f2,14155
f6f5f1,10661
fafbf6,2205
fcf9f4,522
f9f6f1,825
f8f9f4,1131
f9faf5,2689
f5f4f0,2472
f8f4f1,1059
f6f2ef,786
f7f4ef,852
f5f2ed,2275
f8f5f0,882
f9f4f1,66
f8f3f0,90
fbf6f3,408
faf7f2,474
f4f1ec,2385
f6f3ee,2020
f7f3f0,669
fefdfb,3148
fffefc,1575
fefdf9,1584
fffefa,1249
f5f1ee,561
f8f4f3,102
faf4f4,16
fcf6f6,14
f5f4f2,190
fbf9fa,724
fcfafb,293
fbfcf7,444
fdfdfb,264
fdfcfa,3641
fdfcf8,937
fafaf8,17761
f9f9f7,3641
fdf7f7,42
fff9f9,40
faf8f9,236
fefbf6,246
fdfaf5,351
f3efec,193
fbf8f3,452
faf5f2,187
f5f0ed,61
ede8e5,38
fcf7f4,166
fdf8f5,310
fef9f6,228
fffbfa,2495
fefaf7,2479
fffbfc,48
fffcfb,592
fffffd,1392
fefefc,279
fefffa,290
fffffb,1289
fefefe,360
ffffff,183
fefdf8,121
fdf9fa,134
faf9f4,4244
f9f8f3,4402
f4f3ef,1823
efeeec,32
f8f8f6,826
f6f6f4,192
fbfbf9,2161
f7f6f1,2384
f6f5f0,1929
f9faf4,232
fbfaf5,1020
fafaf2,66
f9f7f8,103
fffcf9,362
f6f2f1,44
fdfbfc,208
fffdfe,190
f7f2ef,108
f4f3f1,160
fcfbf6,188
f3f2ee,718
f2f1ed,362
f8f7f2,1379
f7f3f2,75
f4f0ed,279
f3f2f0,89
fffaf7,122
fcfcfa,211
fdfdfd,70
fcfcfc,29
ecebe7,72
