color,count
dbe8ce,1
d9e5cd,2
dcead1,2
dcebd4,3
d5e4cd,6
c3d5bd,1
b6cab1,2
cadec5,3
d0e4cb,2
d2e6cd,1
cee2c7,2
cee0c6,4
d1e4c8,7
ccdfc3,3
c4d7bb,2
bad2ba,2
b5d0bd,4
b2d2c5,4
95b9b5,2
7ea7ad,3
79a5b2,1
6e9bb0,1
759fb8,4
7ca4be,2
7fa2be,1
7a99b6,1
7d9ab8,2
7691af,2
748fad,2
819bbc,1
748eaf,1
7d97a8,1
7d96aa,4
7e94a9,1
7d93a8,1
7b91a6,2
7b8fa7,2
778ba3,1
7b8da5,2
7e90a8,1
8193ab,1
8192ac,1
8191ab,1
7f8fa9,1
7e8ea8,1
6f7f99,1
75859e,1
76889e,2
6d8293,4
718993,1
658184,1
5a7974,1
7f9f94,1
c2e2d3,3
c6e5d3,3
cae6d0,1
c7e0ca,2
c2d8c1,3
c2d6bd,3
c8dac2,1
d0dfc8,1
cfe3c8,5
d0e7cb,1
d4ebd1,1
d4ecd4,1
cfebd4,1
c9e6d2,2
c0dfcd,3
bcdbc9,5
bedfce,2
b8d9c8,7
b1d2bf,5
b1d0be,1
b8d5c1,9
bfdcc8,6
c5e1cb,6
c7e3cd,1
c7e1bc,1
c8e2bf,3
c8e1c3,3
c7e1c6,2
c2dec8,2
bad6c7,5
afcdc5,5
a7c5c3,2
9ebdc0,3
9cbdc6,5
9cbeca,4
9cc0ce,3
9ec3d5,1
a0c5d7,1
a0c6d9,1
9fc5d8,2
92b9c0,4
93babf,3
97bec3,2
9dc3c6,6
a6c9cb,5
acd0d0,3
b3d5d4,3
b8d8d3,4
c2dfda,1
c5e0d7,1
c6e0d5,2
c5dfd2,4
c5ddcf,4
c2d9c9,2
bed5c3,3
bcd3c1,3
b7cfcf,1
bbd4d1,1
c1d8d0,6
c6ded1,7
cbe2d0,4
cee4cf,4
d0e3cf,4
d1e2cf,4
cedccb,2
cedacc,1
cfdacc,2
d2dacd,2
d4dacc,1
d6ddcd,1
dadecd,1
dbe0cc,1
dce6db,1
d6e1d3,2
d4dccd,2
d6dfcc,1
dde5ce,2
dfe7cf,1
dce5ca,2
d7e0c5,1
d8e2c7,3
dbe7cf,2
dae7d3,1
d1e2d2,1
cddfd3,1
cee1db,2
cadedc,1
c2d8d6,2
abcac4,3
b9d9d4,6
bbdbd8,2
a8cacb,5
9bbcc3,5
99bbc5,3
96bac8,1
8fb4c6,6
8ab0c5,1
84adc3,6
7ea8be,5
78a5ba,4
77a6ba,1
78a9ba,2
7daebf,1
80b1c2,3
81acb5,1
7fa9b5,2
7ba5b3,2
78a1b3,1
759eb4,3
739bb5,4
729bb9,1
729bbb,1
739cbc,1
759ebe,1
77a3be,4
7ba7c0,2
7facc1,6
81aec1,1
81b0c0,1
81b1bf,2
84abb0,1
8cb3b8,2
8fb6bb,1
89b0b7,4
84aab3,1
83a9b2,2
81a7b2,5
7ca2af,1
698ea0,5
698ea1,1
698da3,2
688ca2,3
668aa2,4
6488a2,5
6387a1,1
6286a0,1
5c7b8f,1
5c7d90,4
5e7e93,6
5e8195,5
5d8197,1
5b8196,1
597f94,1
567f93,1
578094,2
5d8396,1
648b9c,2
6e93a3,2
7b9fab,2
8dafb9,5
9dbfc8,7
a8c9d2,3
acc4b4,1
adc6b3,1
b0c9b4,2
b2cbb5,1
b2ccb3,1
aecbaf,1
a9c6aa,1
a6c3a7,1
a8c6ac,1
a7c4ae,1
a7c4b2,2
a9c5b7,2
a9c7bf,4
aac7c3,2
a7c3c4,2
a4c0c3,3
a1c8c3,2
9fc7bf,4
9cbfb8,1
98b8ad,2
93afa3,2
91a99c,1
90a498,1
91a298,1
889790,1
879391,1
869193,1
7a848d,1
677383,2
647184,6
616d85,4
505e78,5
636a7c,3
596072,7
4d5667,10
424f5f,20
374955,8
2e424d,1
263c47,1
223b42,3
203b42,1
18333a,1
162f34,1
1b3238,3
1e3239,4
1a2d33,6
192a31,2
1c2d34,7
222d2f,14
202b2d,14
1d282a,14
1b2628,17
1a2527,12
141f21,3
162123,3
192426,6
1c2729,13
1e292b,23
1f2a2c,20
1e3233,2
233738,5
243839,5
213438,49
