color,count
213a4e,2
20394d,1
233c50,4
284155,2
2c4559,3
2b4458,3
294256,2
274054,2
2f485c,2
2a4357,3
1d364a,2
1b3448,1
142a3f,1
2c4257,3
153043,2
264355,3
254456,2
2e4d5f,3
203f51,3
274658,2
1b384a,2
254053,1
243d51,1
273d52,3
263c51,5
1c3647,1
223c4d,1
253c4e,1
22394b,1
243b4d,1
2c4156,1
30455a,1
2e4459,2
2d4358,5
324b61,1
324d62,2
29485c,2
294a5d,2
2c4f63,3
264b5e,1
1a3f52,1
284855,1
2e4e5b,4
1c3947,2
223e4c,2
264250,2
233d4c,2
324959,5
233a4a,2
374e5e,3
223c4b,2
274351,2
213d4b,3
2a4755,2
375764,2
335360,1
25455c,4
203e56,3
233f57,1
243e57,1
253d57,2
304560,2
314560,1
233450,1
374663,1
243350,1
2a3956,2
1f304c,1
243551,1
334762,1
2f435e,2
425671,1
2a4055,2
192f44,1
1d3348,1
23394e,1
2b4156,4
283e53,2
223e53,1
203f53,2
224155,2
244357,1
254458,1
234257,1
1f3f54,1
1c3c51,2
16364b,1
1f4258,2
25485e,4
22455b,3
1d3f58,1
1e4059,2
21455d,1
23475f,3
2b3b52,2
24344b,2
22344a,1
293b51,2
2f4157,2
2b4055,1
293f54,1
354e62,3
1a3548,1
1d3a4c,1
304d5f,2
324f61,3
2b4a5c,2
2f4e60,1
28425b,1
314d65,1
36526a,2
304e66,2
2b4961,1
294960,1
27475e,4
224259,2
1d3d54,2
1c3a52,1
2a465e,1
264059,1
273f59,1
2d425d,1
20344f,2
34445d,1
293952,2
283a52,2
33455d,2
34465e,1
283c55,1
253b53,1
2b4159,1
284058,1
29415b,1
253f58,2
244058,2
1f3a55,1
2c4762,1
092741,1
284660,1
22485f,2
1e445b,2
21475e,1
2a5067,4
2e526a,6
2b4f67,6
2e5268,5
35596f,8
34576d,6
33566a,1
284b5f,3
3a5a6f,3
2e4e63,3
345568,3
325366,4
35586c,3
2d5064,3
234358,1
29495e,2
345469,5
2b4b60,2
204055,3
1a3a4f,2
1e3e53,1
15354a,1
2a4a5f,4
25455a,2
26465b,2
264559,1
28475b,2
2a495d,2
315166,1
2c4c61,3
23465c,2
496c82,15
36596f,4
355770,4
294d65,4
33576f,7
20445c,2
284c64,2
2a4e66,4
294f62,2
2c5265,2
284e61,1
204659,2
244a5d,1
2d5668,6
254e60,2
244d5f,1
295465,3
305b6c,3
315c6d,3
2a5868,5
255363,1
225060,3
225362,1
255665,1
275867,1
265565,3
225161,2
214f5f,1
265162,2
2a5365,4
2e5467,3
33596c,6
385d70,4
23465a,2
305367,4
2d4d62,4
274964,1
21435e,1
22445f,1
2a4c65,4
2e4e67,1
28485f,2
304f64,1
2d4c61,2
2e4d61,1
2a495b,1
274454,2
2e4b5b,3
304d5d,4
2c4959,1
2f4e62,3
315064,2
224156,1
35556a,1
325267,3
21445a,1
24475d,2
1b3e54,1
1c4058,1
1d4159,1
2c5068,4
2b4f69,1
244a5f,4
21475c,7
264c61,3
173d52,2
1a3e54,1
2a4e64,5
22465c,2
204359,1
204057,2
325269,3
26465d,3
35556c,8
23435a,1
18364e,2
2c4a62,2
24425a,3
2a4a61,3
26495f,4
3b5e74,3
33576d,4
32586d,3
2c5267,3
2e576b,3
30596d,2
275265,2
295467,4
2d586b,4
2f536b,3
2c5269,5
284e65,5
214a60,1
1f495f,2
214e63,1
255267,5
275469,4
235065,4
224f64,2
275167,4
2c556b,5
2f556c,2
2d536a,2
284a63,6
2e5069,3
365871,3
3a5c75,2
32546d,3
24465f,2
34566f,3
2d4f68,3
254760,2
2f516a,3
33556e,5
36546c,1
234159,1
27455d,2
27435b,2
324e66,2
254159,1
2c465f,1
334d66,1
2f4962,2
263e58,1
334b65,1
374f69,3
314963,1
274d62,5
23495e,4
32566c,5
34586e,9
365a70,4
24485e,5
375b71,3
3d6076,3
2f5268,3
41647a,7
32556b,5
2c4c63,3
3c5c73,5
315168,5
36566d,4
2e4e65,1
37576e,3
416178,3
38586f,3
2f4f66,1
2d5368,3
31576c,6
3c6174,3
395e71,5
2f5266,4
315468,1
3e5f72,6
37586b,3
38576b,4
385567,4
3d5a6c,5
435e71,5
3a5568,7
4a6578,9
334c62,1
476277,4
3f5a6f,2
365267,1
416074,4
3c5d70,2
325568,3
3f6476,7
3c6173,7
466b7d,8
375a6d,2
44677a,10
3f6073,2
4b6c7f,5
446377,6
4f6c7e,8
486376,6
425d70,3
445d71,4
465f73,3
465c71,7
455b70,2
546a7f,3
4d667a,3
415e70,4
3a596b,2
436475,5
4a6b7c,2
3e6272,8
527287,9
4d6d82,8
46667b,9
426277,9
446479,3
436378,7
3e5e73,5
48687d,9
4a6a7f,9
47677c,7
49697e,8
4d7084,14
476a7e,13
426578,12
436477,7
456679,8
426175,4
3a566b,2
324d60,1
445f72,4
3a5367,2
3e5567,2
4e6376,6
4c6174,4
3d4f63,2
3a4c60,1
47596d,5
3c5267,4
41576c,4
435c70,8
415c6f,7
3d586b,4
426173,6
49687a,7
476678,4
416072,2
486577,8
3b5468,3
4a6075,4
495f74,3
3a5a69,2
395968,5
385867,6
3b5b6a,2
3d5d6c,4
3c5c6b,2
355564,5
2e4e5d,2
436372,7
426271,4
2b4e62,2
34576b,3
3f6276,6
37576c,2
3c5c71,5
3f5f74,4
446378,6
2f4e63,7
3d5c71,2
2f4b61,2
405c72,4
435f75,7
1d394f,1
547086,1
31465b,1
3b5065,1
40556a,3
3e5368,2
42576c,2
4a5f74,2
485d72,2
4b6075,2
495e73,1
41566b,1
475c71,1
52677c,2
354a5f,2
4a6473,6
3c5665,3
455f6e,6
577180,5
526c7b,8
46606f,8
445e6d,3
476170,10
486271,10
496372,11
4d6776,9
476a7d,9
45687b,13
38596c,2
446578,5
48697c,8
426376,10
456478,4
49687c,9
4a697d,6
436276,4
3a596d,6
3e5a6f,1
4c6277,5
455e74,4
3b546a,3
4b647a,9
405a71,2
445e75,3
49637a,1
415b72,1
3e5871,3
425e76,1
435f77,2
3f5974,1
38526d,2
37516c,2
3e5873,3
435d78,1
445e79,1
47617c,2
4c6681,3
49637e,1
4d6782,1
3c5671,1
3d5772,1
385068,1
445c74,2
374f67,1
40566d,2
3c5269,2
33475f,1
445870,2
405268,2
485a70,2
48586f,1
445368,1
48576c,1
535f75,1
4b576d,2
434f65,3
49556b,2
48606c,4
425967,7
405765,4
3b5260,5
354c5a,2
3e5563,4
485f6f,8
445b6b,11
3b5262,6
455c6c,6
4c6375,3
4b6274,9
4a6173,8
4d6476,11
4e6479,7
4b6176,4
516876,1
4e6573,10
4c6371,4
4b6270,12
49606e,8
455c6a,3
465d6b,9
415866,6
526977,6
445b69,7
3f5664,3
405260,1
425462,8
506270,10
435563,4
475967,10
4a5c6a,6
4c5e6c,6
4d5f6d,6
445664,6
4b5d6b,7
485e6b,7
506673,3
445a67,2
4c5f6d,5
3e5160,3
4f6271,6
475a69,7
485b6a,9
394c5b,2
3b4e5f,5
4a5d6e,6
