color,count
141213,854
181617,483
0b090a,3016
151314,801
131112,1065
121011,1272
18100d,224
100805,198
0e0603,140
0f0704,186
0d0502,165
110906,187
19110e,183
211916,132
1e1613,153
160e0b,215
1b1310,186
251d1a,84
221411,388
251714,237
271916,241
281a17,181
291b18,207
2e201d,125
322421,104
30221f,105
2d1f1c,148
332522,82
2c1e1b,160
251a14,104
291e18,85
30251f,55
342923,41
281d17,87
211610,107
2a1f19,90
251e18,51
221b15,62
231c16,52
2a231b,10
2d261e,8
2d241d,32
2f261d,7
291f16,68
31271e,33
31271d,10
291f15,11
2a1d14,37
34271e,28
392c23,30
372a21,27
302219,115
31231a,114
33251c,109
32241b,98
2f2118,143
372920,66
34261d,95
35271e,68
2a1c13,227
392b22,51
2c1e15,202
36281f,74
3b2d24,54
41332a,45
382a21,56
3d2f26,49
2d1f16,186
24160d,213
423127,33
38271d,76
413026,27
3f2e24,47
3c2b21,51
47362c,43
443329,29
433228,35
3d2c22,45
49382e,27
42342b,31
403229,37
3e3027,43
473930,27
3f3128,40
44362d,36
3c2e25,49
3a2c23,46
3e3226,15
42362a,15
44362b,23
413328,19
45342a,28
46352b,23
46342a,65
4f3d33,60
453329,63
412f25,77
513d34,104
47332a,59
46382d,30
4a3c31,21
4d3f34,23
4b3d32,18
483a2f,20
423429,19
47392e,16
45372c,13
43352a,27
4c352d,136
4b342c,115
463229,70
48342b,59
49372d,47
4a382e,45
48372d,35
4e3d33,31
413529,10
44382c,20
463a2e,27
42382c,3
3e3428,4
4b3a2a,17
4a3929,14
473527,21
433123,25
402e20,19
3e2e1f,6
3f2f22,20
413124,16
45372a,8
413326,12
3f3126,23
3e3025,19
3a2e22,19
372b1f,22
3b2e25,15
42352c,25
3e2d23,49
4b3a30,33
726157,25
635248,43
39281e,64
3b2a20,57
41342b,19
5e5148,8
564940,13
483b32,19
584b42,16
4d4037,17
4a3d34,18
493830,51
54433b,59
594840,61
55443c,59
503f37,57
4d3c34,55
47362e,48
3f2e26,62
48372f,51
53423a,59
716058,31
77665e,21
73625a,30
695850,50
615048,70
645045,102
735f54,71
7d695e,34
79655a,42
715d52,59
6b574c,88
786459,50
806c61,30
877368,29
857166,33
7f6b60,32
75625b,85
79665f,73
77645d,68
7c6962,68
85726b,35
826f68,44
7d6a63,44
84716a,42
8a7770,28
8e7b74,21
938079,14
95827b,23
96837c,9
9b8881,11
a08d86,6
99867f,17
9c8982,11
927f78,13
94817a,16
97847d,12
98857e,12
a19088,11
9e8d85,8
9b8a82,11
998880,12
9c8b83,13
a08f87,5
a3928a,7
a5948c,1
9f8e86,5
97867e,11
8f7e76,13
8d7c74,8
94837b,8
9a8981,9
9d8c84,9
a4938b,5
a29189,7
a6958d,5
95847c,6
96857d,8
98877f,8
9d8b7f,7
958377,13
8d7b6f,19
907e72,14
89776b,17
816f63,24
8c7a6e,15
8a786c,23
7f6d61,32
68564a,26
534135,46
4f3d31,33
5f4d41,42
726054,27
7c6b5b,9
7e6d5d,7
847363,9
897868,7
8b7a6a,5
877666,10
837262,17
8a7969,6
8e7d6d,6
918070,7
907f6f,10
948373,7
998878,8
9d8f8c,2
9f918e,2
968885,3
8e7f7a,7
8a7b76,4
8e7d76,14
928179,7
89766f,21
8b776e,30
98847b,22
8e786d,31
937d72,34
876f63,35
947c70,14
977f73,15
98867c,10
9b897d,9
a08e82,11
9f8d7f,7
938272,5
857462,3
837260,2
897864,1
83725e,3
806f5d,5
7e6d5b,3
7d6b5d,11
806e62,19
867468,15
8b796f,16
796252,31
846d5d,23
8d7666,17
8a7363,19
7f6858,29
7a6456,34
826c5e,34
8d7769,16
826c5f,51
887567,23
8d7a6c,17
8b786a,30
877569,14
827064,17
8e7d6b,4
91806e,1
8b7a68,6
887765,3
8e7b6a,6
8a7766,5
8e7968,10
